iter	Passed	Remaining
678	3579	1692
679	3584	1686
680	3588	1680
681	3593	1675
682	3598	1670
683	3603	1664
684	3607	1658
685	3614	1654
686	3618	1648
687	3623	1643
688	3629	1638
689	3635	1633
690	3640	1627
691	3646	1622
692	3650	1617
693	3655	1611
694	3661	1606
695	3666	1601
696	3670	1595
697	3675	1590
698	3680	1584
699	3685	1579
700	3690	1573
701	3695	1568
702	3700	1563
703	3704	1557
704	3711	1552
705	3716	1547
706	3720	1541
707	3726	1536
708	3731	1531
709	3735	1525
710	3740	1520
711	3746	1515
712	3751	1510
713	3757	1505
714	3762	1499
715	3767	1494
716	3773	1489
717	3777	1483
718	3782	1478
719	3786	1472
720	3792	1467
721	3797	1462
722	3802	1456
723	3809	1452
724	3814	1446
725	3819	1441
726	3825	1436
727	3830	1431
728	3836	1426
729	3842	1421
730	3847	1415
731	3853	1410
732	3863	1407
733	3877	1405
734	3883	1400
735	3892	1396
736	3900	1391
737	3908	1387
738	3916	1383
739	3925	1379
740	3932	1374
741	3941	1370
742	3947	1365
743	3955	1361
744	3961	1356
745	3967	1351
746	3973	1345
747	3979	1340
748	3985	1335
749	3990	1330
750	3995	1324
751	4002	1320
752	4008	1315
753	4014	1309
754	4021	1304
755	4026	1299
756	4033	1294
757	4038	1289
758	4043	1284
759	4050	1279
760	4055	1273
761	4060	1268
762	4067	1263
763	4072	1258
764	4077	1252
765	4083	1247
766	4087	1241
767	4092	1236
768	4097	1230
769	4102	1225
770	4106	1219
771	4111	1214
772	4117	1209
773	4122	1203
774	4127	1198
775	4134	1193
776	4138	1187
777	4143	1182
778	4149	1177
779	4154	1171
780	4158	1166
781	4164	1160
782	4168	1155
783	4173	1149
784	4179	1144
785	4184	1139
786	4188	1133
787	4194	1128
788	4199	1123
789	4204	1117
790	4209	1112
791	4215	1107
792	4220	1101
793	4224	1096
794	4230	1090
795	4235	1085
796	4240	1080
797	4247	1075
798	4252	1069
799	4258	1064
800	4267	1060
801	4278	1056
802	4284	1051
803	4290	1045
804	4296	1040
805	4302	1035
806	4308	1030
807	4314	1025
808	4319	1019
809	4327	1015
810	4332	1009
811	4337	1004
812	4344	999
813	4349	993
814	4354	988
815	4361	983
816	4366	978
817	4371	972
818	4377	967
819	4382	962
820	4388	956
821	4394	951
822	4399	946
823	4404	940
824	4410	935
825	4415	930
826	4421	924
827	4426	919
828	4430	913
829	4435	908
830	4442	903
831	4447	897
832	4452	892
833	4457	887
834	4462	881
835	4466	876
836	4471	870
837	4476	865
838	4480	859
839	4485	854
840	4490	848
841	4494	843
842	4499	837
843	4504	832
844	4508	827
845	4513	821
846	4518	816
847	4525	811
848	4531	805
849	4537	800
850	4542	795
851	4549	790
852	4554	784
853	4560	779
854	4566	774
855	4572	769
856	4577	763
857	4584	758
858	4591	753
859	4600	748
860	4607	743
861	4617	739
862	4625	734
863	4633	729
864	4639	724
865	4646	719
866	4653	713
867	4658	708
868	4665	703
869	4670	697
870	4676	692
871	4682	687
872	4688	682
873	4694	676
874	4700	671
875	4705	666
876	4711	660
877	4717	655
878	4723	650
879	4730	645
880	4736	639
881	4744	634
882	4752	629
883	4759	624
884	4769	619
885	4776	614
886	4786	609
887	4795	604
888	4805	599
889	4815	595
890	4822	589
891	4832	585
892	4840	580
893	4849	575
894	4858	570
895	4866	564
896	4873	559
897	4882	554
898	4892	549
899	4902	544
900	4914	539
901	4925	535
902	4934	530
903	4946	525
904	4954	520
905	4963	514
906	4970	509
907	4979	504
908	4985	499
909	4996	494
910	5003	488
911	5011	483
912	5017	478
913	5027	473
914	5034	467
915	5044	462
916	5051	457
917	5058	451
918	5064	446
919	5077	441
920	5090	436
921	5095	431
922	5106	425
923	5112	420
924	5120	415
925	5126	409
926	5132	404
927	5139	398
928	5144	393
929	5151	387
930	5156	382
931	5161	376
932	5168	371
933	5173	365
934	5178	359
935	5184	354
936	5189	348
937	5193	343
938	5199	337
939	5204	332
940	5208	326
941	5214	321
942	5219	315
943	5224	309
944	5230	304
945	5235	298
946	5240	293
947	5244	287
948	5250	282
949	5254	276
950	5260	271
951	5266	265
952	5271	259
953	5276	254
954	5282	248
955	5286	243
956	5291	237
957	5296	232
958	5301	226
959	5305	221
960	5310	215
961	5315	209
962	5320	204
963	5324	198
964	5330	193
965	5335	187
966	5341	182
967	5346	176
968	5351	171
969	5355	165
970	5362	160
971	5367	154
972	5373	149
973	5380	143
974	5387	138
975	5395	132
976	5408	127
977	5419	121
978	5429	116
979	5437	110
980	5448	105
981	5454	99
982	5463	94
983	5469	88
984	5479	83
985	5487	77
986	5495	72
987	5505	66
988	5514	61
989	5522	55
990	5530	50
991	5537	44
992	5545	39
993	5552	33
994	5561	27
995	5567	22
996	5575	16
997	5582	11
998	5590	5
999	5597	0
